,domain,grid_id,webview_height,webview_width,displays,clicks,landed_clicks,non_bounced_clicks,closing_events,avg_last_second_framerate,sov_short_ttc,sov_short_ttc_global,sov_short_ttc_score,broken
94,ID_1935,333519,250.0,300.0,4467.0,8.0,5.0,2.0,1.0,51.4,,,,0.0
95,ID_507,333519,250.0,300.0,152730.0,22.0,19.0,5.0,6.0,69.4090909090909,0.11764706,0.053200476,0.068312794,0.0
96,ID_1484,333519,250.0,300.0,4007156.0,48.0,42.0,21.0,2.0,60.61764705882353,0.015506433,0.053200476,-0.033827826,0.0
97,ID_638,333519,250.0,300.0,348254.0,142.0,116.0,45.0,18.0,75.15686274509804,0.034431137,0.04933426,-0.0149031235,0.0
98,ID_3466,333519,250.0,300.0,23976.0,18.0,17.0,4.0,,61.35,0.023114355,0.04933426,-0.026219906,0.0
99,ID_920,333519,250.0,300.0,60412.0,9.0,9.0,3.0,,58.92307692307692,0.0148112755,0.04933426,-0.034522984,0.0
100,ID_843,333519,250.0,300.0,9513.0,7.0,5.0,3.0,,55.85714285714285,0.027027028,0.04933426,-0.022307234,0.0
101,ID_2528,333519,250.0,300.0,26022.0,9.0,8.0,5.0,,56.66666666666666,0.019955654,0.04933426,-0.029378608,0.0
102,ID_2368,333519,250.0,300.0,52690.0,65.0,56.0,32.0,1.0,66.71641791044776,0.047526043,0.04933426,-0.0018082199,0.0
103,ID_2883,333519,250.0,300.0,3585.0,15.0,3.0,1.0,15.0,47.285714285714285,0.607064,0.04933426,0.5577298,1.0
104,ID_184,333519,250.0,300.0,3761.0,36.0,29.0,9.0,2.0,61.61111111111112,,,,0.0
105,ID_1349,333519,250.0,300.0,7336.0,6.0,1.0,1.0,1.0,42.5,,,,0.0
106,ID_615,333519,250.0,300.0,6544.0,9.0,9.0,5.0,1.0,63.333333333333336,0.029013539,0.04933426,-0.020320723,0.0
107,ID_140,333519,250.0,300.0,56492.0,36.0,30.0,14.0,7.0,59.71052631578947,0.25641027,0.053200476,0.20320979,0.0
108,ID_1310,333519,250.0,300.0,25597.0,14.0,12.0,9.0,1.0,58.5625,,,,0.0
109,ID_2584,333519,250.0,300.0,13968.0,23.0,21.0,10.0,1.0,54.13513513513514,0.021634616,0.04933426,-0.027699646,0.0
110,ID_2976,333519,250.0,300.0,16565.0,19.0,15.0,4.0,2.0,57.241379310344826,0.0057518487,0.04933426,-0.043582413,0.0
111,ID_1178,333519,250.0,300.0,322574.0,66.0,47.0,25.0,3.0,60.11538461538461,0.35273054,0.053200476,0.30339625,0.0
112,ID_550,333519,250.0,300.0,112884.0,152.0,128.0,57.0,4.0,63.24468085106383,0.013953488,0.04933426,-0.035380773,0.0
113,ID_795,333519,250.0,300.0,37239.0,13.0,12.0,5.0,2.0,65.2,0.0043763677,0.04933426,-0.044957895,0.0
114,ID_335,333519,250.0,300.0,25928.0,7.0,7.0,2.0,2.0,52.85714285714285,,,,0.0
115,ID_1159,333519,250.0,300.0,12879.0,54.0,41.0,10.0,6.0,55.47058823529412,0.03255814,0.04933426,-0.016776122,0.0
116,ID_2621,333519,250.0,300.0,44445.0,16.0,13.0,4.0,,68.8,0.012406948,0.04933426,-0.036927313,0.0
117,ID_558,333519,250.0,300.0,9205.0,7.0,7.0,2.0,,57.42857142857143,,,,0.0
118,ID_1108,333519,250.0,300.0,52292.0,13.0,6.0,2.0,1.0,44.90909090909091,0.054441262,0.04933426,0.005106999,0.0
119,ID_2454,333519,250.0,300.0,5620.0,7.0,3.0,1.0,,43.0,0.012313674,0.04933426,-0.037020586,0.0
120,ID_1966,333519,250.0,300.0,14398.0,13.0,13.0,4.0,,56.0,0.0034965035,0.04933426,-0.045837756,0.0
121,ID_1884,333519,250.0,300.0,8766.0,9.0,6.0,3.0,3.0,54.07692307692308,,,,0.0
122,ID_3296,333519,250.0,300.0,85879.0,124.0,110.0,47.0,16.0,69.14556962025317,0.021148037,0.04933426,-0.028186224,0.0
123,ID_394,333519,250.0,300.0,2214.0,16.0,6.0,0.0,24.0,72.125,0.13297297,0.04933426,0.08363871,0.0
124,ID_437,333519,250.0,300.0,9513.0,16.0,13.0,5.0,2.0,58.15,0.01511955,0.04933426,-0.034214713,0.0
125,ID_1000,333519,250.0,300.0,21122.0,56.0,48.0,18.0,,75.0,,,,0.0
126,ID_2974,333519,250.0,300.0,387508.0,59.0,47.0,17.0,4.0,58.53968253968254,0.012835473,0.04933426,-0.03649879,0.0
127,ID_3099,333519,250.0,300.0,66076.0,99.0,84.0,35.0,15.0,58.65,0.035014007,0.04933426,-0.014320256,0.0
128,ID_2488,333519,250.0,300.0,34252.0,20.0,17.0,8.0,3.0,62.55,0.016025642,0.04933426,-0.03330862,0.0
129,ID_2640,333519,250.0,300.0,19170.0,12.0,8.0,3.0,3.0,60.75,0.020994475,0.053200476,-0.028339786,0.0
130,ID_360,333519,250.0,300.0,36651.0,18.0,16.0,9.0,,69.81818181818181,,,,0.0
131,ID_2812,333519,250.0,300.0,38020.0,9.0,8.0,4.0,1.0,55.0,0.100767754,0.04933426,0.051433492,0.0
132,ID_2186,333519,250.0,300.0,6250.0,10.0,7.0,1.0,3.0,83.27272727272727,,,,0.0
133,ID_369,333519,,,,,,,,,,,,
134,ID_720,333519,250.0,300.0,3598983.0,451.0,377.0,204.0,15.0,89.89708737864078,0.4750234,0.053200476,0.42568913,0.0
135,ID_3335,333519,250.0,300.0,6257.0,8.0,8.0,2.0,4.0,49.3,0.09777778,0.04933426,0.048443515,0.0
136,ID_1978,333519,250.0,300.0,12061.0,32.0,25.0,8.0,5.0,45.25,0.0,0.04933426,-0.04933426,0.0
137,ID_2791,333519,250.0,300.0,13979.0,7.0,3.0,0.0,,52.285714285714285,0.007148531,0.04933426,-0.04218573,0.0
138,ID_695,333519,250.0,300.0,45966.0,10.0,8.0,4.0,2.0,86.6,0.22611745,0.053200476,0.17291696,0.0
139,ID_190,333519,250.0,300.0,4444.0,7.0,5.0,1.0,,53.42857142857143,0.019184653,0.04933426,-0.030149609,0.0
140,ID_793,333519,250.0,300.0,52873.0,57.0,30.0,12.0,65.0,60.14035087719298,0.30631852,0.04933426,0.25698426,0.0
141,ID_828,333519,250.0,300.0,274062.0,40.0,29.0,12.0,1.0,64.95,0.0137795275,0.04933426,-0.035554733,0.0
142,ID_2513,333519,250.0,300.0,22153.0,9.0,8.0,3.0,1.0,66.57142857142857,0.016438356,0.04933426,-0.032895904,0.0
143,ID_579,333519,250.0,300.0,4778.0,1.0,1.0,0.0,,118.0,0.011183597,0.04933426,-0.038150664,0.0
144,ID_1854,333519,250.0,300.0,27105539.0,1933.0,1476.0,595.0,108.0,72.97601128880527,0.06315789,0.053200476,0.009957419,0.0
145,ID_2559,333519,,,,,,,,,,,,
146,ID_1939,333519,250.0,300.0,71142.0,47.0,38.0,14.0,5.0,52.96610169491525,0.025988236,0.04933426,-0.023346025,0.0
147,ID_1526,333519,250.0,300.0,177990.0,14.0,7.0,2.0,,52.54545454545455,0.018867925,0.04933426,-0.030466337,0.0
