,domain,grid_id,webview_height,webview_width,displays,clicks,landed_clicks,non_bounced_clicks,closing_events,avg_last_second_framerate,sov_short_ttc,sov_short_ttc_global,sov_short_ttc_score
4291,ID_2119,333519,250.0,300.0,3775,7.0,7.0,5.0,,73.33333333333333,,,
4292,ID_2149,333519,250.0,300.0,2170,4.0,2.0,0.0,,38.0,,,
4293,ID_722,333519,250.0,300.0,1258014,143.0,110.0,42.0,23.0,68.97560975609755,0.05364807,0.053200476,0.004313807
4294,ID_2405,333519,250.0,300.0,5782,2.0,2.0,2.0,,27.5,,,
4295,ID_292,333519,250.0,300.0,2205,3.0,2.0,2.0,,77.0,,,
4296,ID_3482,333519,250.0,300.0,2050,2.0,2.0,1.0,1.0,58.5,,,
4297,ID_3033,333519,250.0,300.0,53690,6.0,6.0,1.0,,53.75,0.031724136,0.053200476,-0.017610123
4298,ID_3544,333519,250.0,300.0,6840,3.0,2.0,0.0,,48.66666666666666,0.013916501,0.04933426,-0.03541776
4299,ID_400,333519,250.0,300.0,2229,1.0,1.0,0.0,,60.0,,,
4300,ID_2981,333519,,,2842,,,,1.0,,0.00802139,0.04933426,-0.04131287
4301,ID_2362,333519,,,2064,,,,1.0,,,,
4302,ID_3343,333519,250.0,300.0,10014,4.0,4.0,2.0,,69.25,,,
4303,ID_1751,333519,250.0,300.0,34538,8.0,7.0,2.0,1.0,74.2,0.005601034,0.04933426,-0.043733228
4304,ID_1830,333519,250.0,300.0,143496,25.0,19.0,7.0,5.0,45.1,0.055989582,0.04933426,0.006655322
4305,ID_800,333519,250.0,300.0,3132,1.0,1.0,0.0,6.0,60.0,,,
4306,ID_1598,333519,250.0,300.0,91482,5.0,3.0,1.0,2.0,40.2,0.0092783505,0.04933426,-0.040055912
4307,ID_3444,333519,250.0,300.0,9030,7.0,5.0,1.0,,53.285714285714285,0.028054863,0.104358725,-0.026917107
4308,ID_1876,333519,250.0,300.0,10938,20.0,19.0,4.0,,65.03333333333333,,,
4309,ID_1525,333519,250.0,300.0,10138,9.0,7.0,1.0,4.0,34.8,0.022315202,0.04933426,-0.02701906
4310,ID_2127,333519,250.0,300.0,3367,5.0,5.0,2.0,1.0,58.8,0.003690037,0.04933426,-0.045644224
4311,ID_1353,333519,250.0,300.0,41095,34.0,16.0,9.0,,42.27272727272727,1.7265094e-05,0.053200476,-0.049316995
4312,ID_3562,333346,250.0,300.0,3541354,475.0,305.0,142.0,62.0,66.87985865724382,0.036853,0.053200476,-0.012481259
4313,ID_3503,333346,250.0,300.0,533016,187.0,157.0,62.0,38.0,45.209219858156025,0.057952352,0.053200476,0.008618088
4314,ID_680,333519,250.0,300.0,8133,5.0,4.0,2.0,,61.333333333333336,0.02739726,0.04933426,-0.021937001
4315,ID_1908,333519,250.0,300.0,15245,7.0,4.0,2.0,,43.57142857142857,0.015584416,0.04933426,-0.033749845
4316,ID_346,333519,250.0,300.0,5310,3.0,0.0,0.0,,52.0,,,
4317,ID_2147,333519,250.0,300.0,42750,9.0,7.0,5.0,1.0,67.23076923076923,0.06755434,0.053200476,0.018220076
4318,ID_1898,333519,250.0,300.0,3461,1.0,1.0,0.0,,59.0,,,
4319,ID_3283,333346,250.0,300.0,3585,2.0,2.0,0.0,2.0,64.5,,,
4320,ID_932,333346,250.0,300.0,19530,20.0,14.0,3.0,7.0,54.04347826086956,0.032930844,0.04933426,-0.016403416
4321,ID_2121,333346,250.0,300.0,100392,26.0,21.0,9.0,4.0,62.794117647058826,0.011904762,0.04933426,-0.0374295
4322,ID_3012,333346,250.0,300.0,13534,1.0,1.0,0.0,2.0,7.0,,,
4323,ID_150,333346,250.0,300.0,4541,2.0,1.0,0.0,,50.0,0.012295082,0.04933426,-0.03703918
4324,ID_2683,333346,250.0,300.0,27777,5.0,2.0,2.0,,55.8,,,
4325,ID_1231,333346,250.0,300.0,5567,9.0,8.0,3.0,,96.0909090909091,0.018284107,0.04933426,-0.031050155
4326,ID_797,333346,250.0,300.0,3184,3.0,2.0,1.0,2.0,47.66666666666666,,,
4327,ID_2782,333346,250.0,300.0,5410,8.0,7.0,4.0,,57.8,,,
4328,ID_3463,333346,250.0,300.0,52497,130.0,105.0,44.0,16.0,60.0406976744186,0.018181818,0.04933426,-0.031152444
4329,ID_2834,333346,250.0,300.0,7734,1.0,0.0,0.0,,119.0,,,
4330,ID_2896,333346,250.0,300.0,42051,27.0,21.0,13.0,1.0,57.21212121212121,0.0053333333,0.04933426,-0.044000927
4331,ID_1360,333346,250.0,300.0,2329,1.0,1.0,0.0,1.0,119.0,,,
4332,ID_1071,333346,250.0,300.0,528184,39.0,23.0,11.0,6.0,67.21052631578948,0.15492958,0.053200476,0.10559531
4333,ID_1938,333346,250.0,300.0,4571,2.0,2.0,1.0,,89.0,0.013157895,0.04933426,-0.03617637
4334,ID_3308,333346,250.0,300.0,19434,35.0,20.0,11.0,3.0,60.52777777777778,0.14571428,0.04933426,0.096380025
4335,ID_378,333346,250.0,300.0,7055,1.0,0.0,0.0,,60.0,,,
4336,ID_1318,333346,250.0,300.0,2422,3.0,2.0,0.0,2.0,58.333333333333336,,,
4337,ID_1606,333346,250.0,300.0,3194,1.0,1.0,1.0,,118.0,,,
4338,ID_2863,333346,250.0,300.0,93365,27.0,19.0,6.0,,5.775510204081633,0.011782032,0.04933426,-0.03755223
4339,ID_2007,333519,,,2085,,,,,,,,
4340,ID_624,333519,,,2249,,,,2.0,,0.039800994,0.04933426,-0.009533267
4341,ID_628,333519,,,33408,,,,,,,,
4342,ID_1912,333346,,,21658,,,,1.0,,,,
4343,ID_1388,333519,,,11362,,,,,,,,
4344,ID_1242,333346,,,2061,,,,,,,,
4345,ID_551,333346,250.0,300.0,13825,21.0,18.0,1.0,3.0,75.83870967741936,,,
4346,ID_856,333346,250.0,300.0,35131,62.0,47.0,26.0,2.0,66.42857142857143,0.0004580852,0.04933426,-0.048876178
4347,ID_1005,333346,250.0,300.0,57714,108.0,90.0,42.0,4.0,59.9125,0.020134227,0.04933426,-0.029200034
4348,ID_326,333346,250.0,300.0,267951,77.0,69.0,24.0,32.0,52.23008849557522,0.14307722,0.04933426,0.09374296
4349,ID_3274,333346,250.0,300.0,9359,2.0,1.0,1.0,,60.0,,,
4350,ID_2596,333346,250.0,300.0,110234,193.0,169.0,86.0,12.0,65.04132231404958,0.0027635216,0.04933426,-0.04657074
4351,ID_2708,333519,,,2916,,,,,,,,
